n,m,range,seed,seed2,seed3,mean,variance,period,chi,kp,km
26784,96938,70154,2812,25971,9454,2150754974.3671,1533446490188344289.4673,70155,7.786,0.001,0.0031
17618,64557,46939,32280,30579,32109,2141853227.522,1542018532897532223.4574,46940,2.6398,0.0038,0.001
11738,30898,19160,28067,9262,31587,2148860454.689,1517138276103593001.7133,19161,17.4863,0.0063,0.0062
17910,25355,7445,15537,23295,16800,2139719077.6436,1541356092481659146.1784,7446,7.3315,0.0076,0.0037
8645,24021,15376,25102,8561,22561,2153919322.2288,1550769263051919790.7537,15377,7.1906,0.0028,0.0064
13537,59776,46239,29450,27225,18880,2146599467.4257,1535500545732213325.6728,46240,10.6148,0.0025,0.0029
13319,62311,48992,29649,16261,29928,2146193019.6856,1531896365822462138.2825,48993,2.0625,0.0029,0.0021
21573,91899,70326,18678,16863,27172,2140108471.8249,1538051721950867632.5978,70327,5.8393,0.0041,0.0013
13038,93823,80785,30056,17991,11918,2144000286.3839,1538490104688107106.8418,80786,6.2961,0.0024,0.0009
18669,37587,18918,23796,26255,28915,2135778519.7859,1539647481634892972.7402,18919,15.0702,0.0077,0.0019
2940,9287,6347,16536,4156,5508,2170049369.0914,1550441826713711075.6986,6348,8.5671,0.0032,0.0113
18637,25924,7287,17127,28131,8082,2147798978.5423,1565618188563986476.3605,7288,10.8372,0.0083,0.0065
31028,77074,46046,30710,27675,972,2135342153.4431,1542776668334173001.1738,46047,12.8696,0.0052,0.0007
32571,48362,15791,6178,8192,32193,2152296602.7538,1536802506689900401.5635,15792,6.1546,0.002,0.0064
23505,112124,88619,18541,16630,7754,2152514514.5109,1537867258554060641.4122,88620,5.467,0.0006,0.0028
12029,105445,93416,8816,3100,21440,2148960229.8951,1539229414624996962.4126,93417,3.5136,0.0015,0.0024
632,89712,89080,25854,12873,31219,2151857304.7185,1534884740797859312.1941,89081,14.2392,0.0013,0.0041
3867,49388,45521,31280,11336,18602,2144240148.5675,1527824698017309872.8463,45522,12.5881,0.0044,0.0032
19201,22976,3775,28592,26617,23998,2161964646.0543,1553805318917763629.4004,3776,11.4631,0.0051,0.0125
2130,54697,52567,1654,28212,27120,2151316705.391,1529644798618365553.0512,52568,18.184,0.0026,0.0032
21802,74235,52433,29480,6004,23991,2142219066.3428,1542497264847897000.4133,52434,11.3877,0.0037,0.001
30100,112986,82886,5786,11944,20723,2146863473.3525,1532204223506689156.1405,82887,4.379,0.0019,0.0014
10434,33272,22838,5764,30482,3531,2143116157.7609,1541022731970699561.875,22839,3.6488,0.0053,0.0032
24351,71068,46717,15107,25929,23173,2144025732.5885,1539768698130547323.8987,46718,5.590,0.0027,0.0017
32186,83961,51775,7191,28050,26163,2155260593.1024,1537210412821298846.3541,51776,6.5348,0.0009,0.0038
29444,65006,35562,18829,31590,8392,2142477281.1474,1548943906019386067.8497,35563,10.4524,0.0039,0.002
30504,117426,86922,11778,24715,9022,2144004223.1673,1537159994172976161.5935,86923,8.0162,0.0022,0.0006
3798,28742,24944,14812,16481,17155,2136449273.7245,1549619951747909117.9455,24945,9.9768,0.0078,0.0015
17743,81338,63595,3511,9549,10546,2138496660.7362,1533259466036827653.4878,63596,13.309,0.0055,0.0005
21750,66976,45226,12730,31950,5704,2143565975.4546,1540581976935078219.8248,45227,10.4956,0.0044,0.0009
4041,94212,90171,29894,16823,31022,2149202083.7564,1541410575685627224.0257,90172,8.1877,0.0018,0.0019
3757,77306,73549,21693,8502,1129,2143728147.1166,1543503085427846220.1227,73550,13.6008,0.0043,0.0012
13557,60625,47068,4986,21985,29794,2160776290.0413,1541888410203971203.9871,47069,18.878,0.0005,0.0074
2364,43762,41398,1882,29389,16005,2143632566.2483,1537943743960990901.1862,41399,6.5499,0.0034,0.0024
14212,34852,20640,29654,2944,11550,2142136291.2665,1531362391490307013.4997,20641,3.5971,0.0046,0.0026
15129,43682,28553,3141,25631,30571,2149550218.783,1532404238841586228.7256,28554,6.0838,0.0029,0.0037
18360,66030,47670,18829,8660,5807,2145323286.0445,1555963991726444736.7704,47671,9.8702,0.0046,0.0035
23156,93824,70668,20878,7807,25188,2152607414.98,1536050762567348214.5997,70669,18.4743,0.0006,0.0024
26032,124957,98925,12498,32518,9100,2150469487.8051,1531469584462724624.6642,98926,7.4143,0.0015,0.0022
2119,29441,27322,14372,31230,17779,2145103475.0291,1540872480641463230.4641,27323,11.1041,0.0043,0.0024
16566,46888,30322,7131,30690,15866,2148893562.5037,1540807633037602582.1059,30323,5.2229,0.0031,0.0039
10849,44941,34092,1552,22703,7692,2141954339.639,1533564810062551536.0163,34093,14.7414,0.0061,0.0028
27776,34098,6322,4470,2213,17999,2132695615.2567,1556732691338156208.7437,6323,12.1059,0.0128,0.0044
9139,35297,26158,4504,26944,9229,2143233939.8164,1527651717992314552.7801,26159,6.2882,0.0041,0.0031
29148,52675,23527,24132,28055,8999,2147286410.9528,1549388606880207986.8124,23528,6.3241,0.0036,0.0037
8876,44448,35572,9768,24181,496,2155396244.8757,1561494130369085558.4704,35573,14.6051,0.0027,0.0072
21196,80733,59537,27939,14447,17841,2150720724.0317,1535272833630972071.5475,59538,6.0814,0.0007,0.0036
17562,105062,87500,1894,5516,15740,2149130102.2768,1539622388479929908.2376,87501,7.4375,0.0014,0.0028
27725,110823,83098,29076,21800,31019,2156154028.0965,1535125214889053207.3096,83099,6.9249,0.0004,0.0036
9850,37997,28147,21288,8435,32080,2148867453.5722,1526953822746158313.8254,28148,12.2046,0.0039,0.0037
27150,48102,20952,26913,8074,17543,2150506283.6991,1536620686032140447.2119,20953,24.7721,0.0034,0.005
20891,100224,79333,17229,10940,15957,2146692707.9954,1534613961845114413.9839,79334,7.8177,0.0017,0.0013
26447,114706,88259,15402,8877,22097,2145072913.4076,1533433537858671538.9057,88260,14.5751,0.0038,0.0016
13668,15831,2163,24281,8255,20891,2168478778.7657,1509154038298792159.7949,2164,4.2009,0.0111,0.0155
29615,95506,65891,7026,31366,7619,2152859673.0282,1531947173173844237.8017,65892,10.653,0.0019,0.0029
17344,41426,24082,11231,25827,17902,2137308805.4502,1525241650951807270.4312,24083,9.3151,0.0078,0.0012
23577,47251,23674,3759,20886,5122,2155259312.0464,1539371306660440171.0924,23675,9.6056,0.0019,0.0055
11394,64204,52810,22493,8818,15058,2153002116.058,1534460486832197700.8207,52811,3.8819,0.0006,0.0036
27674,92753,65079,19251,12190,32737,2145497508.335,1541012643233190356.3828,65080,19.9349,0.0037,0.002
